ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
82.205.252.178;8080;Transparent;false;"United Arab Emirates";16761;91;"Nov 25 08:34:47"
91.121.11.120;8080;Anonymous;false;"France";5241;74;"Nov 25 08:34:22"
82.114.92.33;8080;Transparent;false;"Albania";478;88;"Nov 25 08:34:14"
81.7.102.19;8080;Transparent;false;"Lithuania";401;82;"Nov 25 08:34:14"
87.101.130.218;8080;Anonymous;false;"Saudi Arabia";379;84;"Nov 25 08:33:53"
61.247.51.188;8080;Transparent;false;"Indonesia";1365;89;"Nov 25 08:33:39"
61.247.45.237;8080;Transparent;false;"Indonesia";3346;72;"Nov 25 08:33:38"
61.135.242.168;8080;Transparent;false;"China";3378;95;"Nov 25 08:33:30"
78.131.55.82;8080;Distorting;false;"Hungary";1708;99;"Nov 25 08:32:53"
60.214.67.86;8080;Transparent;false;"China";1384;90;"Nov 25 08:32:16"
59.172.208.190;8080;Transparent;false;"China";4318;59;"Nov 25 08:30:54"
65.246.9.163;8080;Anonymous;false;"United States";3910;75;"Nov 25 08:30:39"
222.57.81.198;8080;Anonymous;false;"China";13382;82;"Nov 25 08:24:44"
221.7.145.42;8080;Transparent;false;"China";6746;91;"Nov 25 08:22:07"
41.73.2.36;8080;Transparent;false;"Nigeria";784;84;"Nov 25 08:21:57"
41.191.27.25;8080;Transparent;false;"Egypt";26487;75;"Nov 25 08:21:25"
219.83.100.195;8080;Transparent;false;"Indonesia";4731;88;"Nov 25 08:21:06"
221.179.173.170;8080;Anonymous;false;"China";2521;99;"Nov 25 08:20:04"
219.234.82.89;8080;Distorting;false;"China";1260;92;"Nov 25 08:20:00"
203.93.28.166;8080;Transparent;false;"China";42691;96;"Nov 25 08:14:46"
202.98.123.126;8080;Distorting;false;"China";15735;81;"Nov 25 08:14:21"
213.244.65.130;8080;Transparent;false;"Palestine";605;88;"Nov 25 08:14:19"
202.148.14.92;8080;Transparent;false;"Indonesia";14350;78;"Nov 25 08:13:58"
202.137.22.183;8080;Transparent;false;"Indonesia";5943;77;"Nov 25 08:13:40"
202.137.21.196;8080;Transparent;false;"Indonesia";1956;74;"Nov 25 08:13:34"
213.131.41.98;8080;Transparent;false;"Georgia";9879;75;"Nov 25 08:13:31"
212.33.250.197;8080;Transparent;false;"Russian Federation";1870;84;"Nov 25 08:12:48"
202.125.88.134;8080;Transparent;false;"Indonesia";22669;78;"Nov 25 08:12:46"
210.4.73.82;8080;Transparent;false;"Bangladesh";2445;77;"Nov 25 08:12:33"
203.189.89.153;8080;Transparent;false;"Indonesia";1135;97;"Nov 25 08:12:25"
203.189.148.102;8080;Transparent;false;"Cambodia";4309;95;"Nov 25 08:12:24"
202.77.108.60;8080;Transparent;false;"Indonesia";1309;87;"Nov 25 08:12:14"
203.131.67.22;8080;Distorting;false;"Philippines";15095;78;"Nov 25 08:10:09"
192.162.150.77;8080;Transparent;false;"Poland";516;93;"Nov 25 08:09:39"
190.95.148.234;8080;Transparent;false;"Ecuador";4110;90;"Nov 25 08:09:35"
200.90.70.69;8080;Transparent;false;"Venezuela";1420;68;"Nov 25 08:09:26"
186.216.192.179;8080;Transparent;false;"Brazil";1410;80;"Nov 25 08:08:39"
190.200.81.200;8080;Transparent;false;"Venezuela";1919;91;"Nov 25 08:08:38"
200.48.194.23;8080;Transparent;false;"Peru";13549;77;"Nov 25 08:08:13"
200.31.75.14;8080;Transparent;false;"Colombia";683;95;"Nov 25 08:07:59"
196.200.80.4;8080;Distorting;false;"Mali";15393;51;"Nov 25 08:07:58"
200.195.132.94;8080;Transparent;false;"Brazil";908;92;"Nov 25 08:07:27"
200.182.190.157;8080;Transparent;false;"Brazil";4003;33;"Nov 25 08:07:25"
200.182.190.153;8080;Transparent;false;"Brazil";10870;35;"Nov 25 08:07:21"
190.111.17.161;8080;Transparent;false;"Guatemala";9557;74;"Nov 25 08:06:58"
200.150.97.139;8080;Distorting;false;"Brazil";18435;75;"Nov 25 08:06:54"
190.108.83.30;8080;Transparent;false;"Peru";1154;91;"Nov 25 08:06:47"
190.105.107.172;8080;Transparent;false;"Argentina";7905;91;"Nov 25 08:06:43"
200.136.218.183;8080;Distorting;false;"Brazil";34685;39;"Nov 25 08:06:35"
190.79.46.81;8080;Transparent;false;"Venezuela";1064;80;"Nov 25 08:05:51"
187.85.89.167;8080;Transparent;false;"Brazil";1924;91;"Nov 25 08:05:27"
190.69.64.146;8080;Transparent;false;"Colombia";3483;93;"Nov 25 08:05:20"
190.66.22.53;8080;Transparent;false;"Colombia";2824;89;"Nov 25 08:05:15"
187.65.192.184;8080;Transparent;false;"Brazil";2832;83;"Nov 25 08:05:10"
177.36.242.105;8080;Transparent;false;"Brazil";1195;59;"Nov 25 08:04:36"
177.34.126.204;8080;Transparent;false;"Brazil";23388;91;"Nov 25 08:04:35"
190.239.210.4;8080;Transparent;false;"Peru";2565;83;"Nov 25 08:04:27"
180.247.12.6;8080;Transparent;false;"Indonesia";7613;70;"Nov 25 08:04:15"
180.245.254.56;8080;Distorting;false;"Indonesia";15214;79;"Nov 25 08:03:36"
173.242.117.146;8080;Transparent;false;"United States";219;97;"Nov 25 08:03:35"
122.144.7.161;8080;Transparent;false;"Indonesia";8832;83;"Nov 25 08:01:37"
124.81.113.183;8080;Transparent;false;"Indonesia";3170;90;"Nov 25 08:00:59"
122.0.66.102;8080;Distorting;false;"China";13391;89;"Nov 25 08:00:57"
124.195.6.243;8080;Transparent;false;"Indonesia";5350;84;"Nov 25 08:00:56"
125.216.144.199;8080;Anonymous;false;"China";1855;96;"Nov 25 08:00:29"
125.214.11.209;8080;Anonymous;false;"Viet Nam";22641;70;"Nov 25 08:00:27"
118.137.74.249;8080;Transparent;false;"Indonesia";8612;93;"Nov 25 08:00:01"
118.126.10.51;8080;Anonymous;false;"China";2267;97;"Nov 25 07:59:51"
120.199.129.54;8080;Transparent;false;"China";4307;92;"Nov 25 07:59:19"
121.52.144.245;8080;Transparent;false;"Pakistan";1110;90;"Nov 25 07:59:10"
110.77.132.61;8080;Transparent;false;"Thailand";3888;66;"Nov 25 07:58:02"
110.77.132.52;8080;Transparent;false;"Thailand";4048;83;"Nov 25 07:57:58"
110.74.195.218;8080;Transparent;false;"Cambodia";3025;66;"Nov 25 07:57:39"
110.74.195.114;8080;Transparent;false;"Cambodia";1260;83;"Nov 25 07:57:36"
115.238.231.198;8080;Transparent;false;"China";917;96;"Nov 25 07:56:54"
110.139.66.8;8080;Transparent;false;"Indonesia";8697;75;"Nov 25 07:56:04"
110.139.206.123;8080;Transparent;false;"Indonesia";4464;71;"Nov 25 07:55:54"
110.139.201.252;8080;Transparent;false;"Indonesia";12408;82;"Nov 25 07:55:49"
119.40.98.26;8080;Transparent;false;"Mongolia";1472;90;"Nov 25 07:55:33"
118.97.91.227;8080;Transparent;false;"Indonesia";3956;81;"Nov 25 07:55:16"
119.252.132.34;8080;Transparent;false;"Indonesia";6298;66;"Nov 25 07:55:15"
114.35.167.38;8080;Distorting;false;"Taiwan";2876;67;"Nov 25 07:54:53"
110.136.167.118;8080;Transparent;false;"Indonesia";10236;95;"Nov 25 07:54:51"
